file name,Lobe_Furrow,ROI number,x-coordinate of ROI centre,y-coordinate of ROI centre,ROI surface area,Angle,anisotropy,coordinates of ROI vertices,,,,,,,,,,,,,,,,,,,,,,,
IND17_IN3_#4_max18-30.tif,Furrow,150,1416.62,1337.46,19743,-44.79,0.1348,1408,1423,1480,1395,1504,1273,1406,1271,1322,1303,1326,1351,,,,,,,,,,,,
IND17_IN3_#4_max18-30.tif,Furrow,151,1070.41,1573.07,32660,49.82,0.0711,1084,1691,1126,1657,1172,1555,1102,1459,1040,1443,1008,1473,992,1585,1006,1659,1012,1705,,,,,,
IND17_IN3_#4_max18-30.tif,Furrow,152,1257.55,2067.81,19377,-47.21,0.144,1268,2197,1226,2185,1208,1961,1256,1935,1294,2001,1312,2049,1294,2171,,,,,,,,,,
IND17_IN3_#4_max18-30.tif,Furrow,153,1177.44,2324.95,32548,17.81,0.1762,1240,2463,1270,2241,1194,2221,1084,2249,1078,2369,1188,2431,,,,,,,,,,,,
IND17_IN3_#4_max18-30.tif,Furrow,154,1372.54,2234.51,40477,-53.84,0.0974,1284,2457,1318,2229,1346,2065,1414,2011,1446,2215,1436,2329,,,,,,,,,,,,
IND17_IN3_#4_max18-30.tif,Furrow,155,1212.68,1099.18,17566,-64.36,0.098,1192,1224,1266,1184,1262,1046,1192,992,1144,1022,1144,1050,1186,1120,,,,,,,,,,
IND9_IN3_#2_max12-19.tif,Lobe  ,133,1444.97,1506.07,29721,76.39,0.1615,1410,1644,1386,1431,1398,1338,1470,1356,1485,1401,1506,1677,,,,,,,,,,,,
IND9_IN3_#2_max12-19.tif,Lobe  ,134,1577.69,1472.09,29163,81.07,0.163,1560,1668,1617,1674,1620,1347,1569,1266,1521,1362,,,,,,,,,,,,,,
IND9_IN3_#2_max12-19.tif,Lobe  ,135,1729.26,1510.99,46233,-55.38,0.1077,1674,1677,1656,1341,1704,1299,1800,1413,1797,1704,,,,,,,,,,,,,,
IND9_IN3_#2_max12-19.tif,Lobe  ,136,1202.4,292.33,56952,-82.94,0.1048,1224,582,1278,525,1236,39,1134,30,1140,324,1170,495,,,,,,,,,,,,
IND9_IN3_#2_max12-19.tif,Lobe  ,137,1887.89,1019.17,25044,-0.23,0.1789,1890,1170,1836,1056,1827,885,1905,885,1962,1113,,,,,,,,,,,,,,
IND9_IN3_#2_max12-19.tif,Lobe  ,138,1877.77,1452.73,28101,75.49,0.1863,1845,1644,1824,1449,1872,1266,1929,1269,1917,1473,1896,1644,,,,,,,,,,,,
IND9_IN3_#2_max12-19.tif,Lobe  ,139,1278.73,1423.64,50898,-84.11,0.0797,1242,1704,1218,1158,1326,1194,1335,1659,,,,,,,,,,,,,,,,
IND9_IN3_#2_max12-19.tif,Lobe  ,140,1217.38,2020.4,18513,64.42,0.1321,1239,2178,1254,1881,1203,1839,1176,2151,1242,2193,,,,,,,,,,,,,,
IND10_IN3_#6_max38-43.tif,Lobe  ,168,1030.29,1419.34,56007,-70.42,0.3086,1077,1590,1101,1437,1143,1281,1035,1212,957,1326,930,1497,993,1638,,,,,,,,,,
IND10_IN3_#6_max38-43.tif,Lobe  ,169,1224.43,987.97,52899,-87.19,0.3319,1074,1164,1155,1233,1341,933,1311,765,1275,753,1191,828,1212,873,1185,984,,,,,,,,
IND10_IN3_#6_max38-43.tif,Lobe  ,170,1227.29,1565.03,55326,83.61,0.3817,1170,1755,1251,1746,1314,1662,1305,1380,1188,1386,1125,1572,,,,,,,,,,,,
IND10_IN3_#6_max38-43.tif,Lobe  ,171,1368.37,1864.3,41637,48.82,0.3147,1284,2043,1356,2061,1416,1950,1461,1704,1365,1683,1302,1803,1311,1866,,,,,,,,,,
IND10_IN3_#6_max38-43.tif,Lobe  ,172,1424.51,1503.7,27537,-74.25,0.3847,1383,1626,1476,1638,1479,1551,1488,1413,1374,1356,1365,1542,,,,,,,,,,,,
IND10_IN3_#6_max38-43.tif,Lobe  ,173,973.93,1121.48,29613,67.33,0.4102,870,1215,933,1278,1017,1158,1095,993,1050,984,933,1053,,,,,,,,,,,,
IND10_IN3_#6_max38-43.tif,Lobe  ,174,1317.98,469.79,36330,73.06,0.409,1281,687,1236,483,1299,312,1437,366,1377,465,1311,651,,,,,,,,,,,,
IND10_IN3_#6_max38-43.tif,Lobe  ,175,1019.4,1825.74,37470,-88.35,0.3844,930,1830,984,1716,1083,1653,1113,1779,1020,1989,921,1974,966,1875,,,,,,,,,,
IND10_IN3_#6_max38-43.tif,Lobe  ,176,1539.75,1770.16,27894,36.33,0.1217,1470,1956,1530,1974,1563,1794,1599,1767,1605,1605,1530,1593,,,,,,,,,,,,
IND10_IN3_#6_max38-43.tif,Lobe  ,177,1274.79,2208.52,22335,75.26,0.3838,1176,2274,1188,2220,1251,2130,1359,2112,1326,2295,,,,,,,,,,,,,,
IND10_IN3_#5_max15-20.tif,Lobe  ,178,1383.23,1492.47,28362,-80.84,0.3702,1356,1725,1428,1641,1413,1299,1341,1296,,,,,,,,,,,,,,,,
IND10_IN3_#5_max15-20.tif,Lobe  ,179,1517.98,1403.7,37281,-71.16,0.1855,1488,1566,1476,1326,1476,1131,1533,1128,1554,1377,1563,1719,1509,1644,1491,1581,,,,,,,,
IND10_IN3_#5_max15-20.tif,Lobe  ,180,677.89,1871.01,50241,77.74,0.2589,630,2130,711,2229,726,1884,696,1524,657,1512,633,1725,633,1989,657,2064,,,,,,,,
IND10_IN3_#5_max15-20.tif,Lobe  ,181,968.04,1976.91,42567,-74.83,0.1382,915,2244,936,2013,930,1689,996,1677,1011,1992,1008,2238,,,,,,,,,,,,
IND10_IN3_#5_max15-20.tif,Lobe  ,182,1114.97,1922.21,48525,-84.94,0.1339,1065,2130,1071,1635,1140,1635,1173,2082,1161,2208,,,,,,,,,,,,,,
